stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87753764,"gare de Salon",,43.63907036,5.08860383,,,1,
StopArea:OCE87753418,"gare de Istres",,43.51537939,4.98043836,,,1,
StopArea:OCE87753426,"gare de Rassuen",,43.49662972,4.97309715,,,1,
StopArea:OCE87753442,"gare de Fos-sur-Mer",,43.42806645,4.97458171,,,1,
StopArea:OCE87753459,"gare de Port-de-Bouc",,43.40714998,4.98461036,,,1,
StopArea:OCE87753491,"gare de Croix-Sainte",,43.40910817,5.01968446,,,1,
StopArea:OCE87753509,"gare de Martigues",,43.39288581,5.02575677,,,1,
StopArea:OCE87753541,"gare de La Couronne",,43.33985126,5.051734,,,1,
StopArea:OCE87753558,"gare de Sausset-les-Pins",,43.33285915,5.10999985,,,1,
StopArea:OCE87753566,"gare de Carry-le-Rouet",,43.33659814,5.1536956,,,1,
StopArea:OCE87753574,"gare de La Redonne-Ensuès",,43.33447371,5.19756483,,,1,
StopArea:OCE87753582,"gare de Niolon",,43.34019938,5.2569167,,,1,
StopArea:OCE87753228,"gare de Berre",,43.50091011,5.17893114,,,1,
StopArea:OCE87751636,"gare de Séon-St-Henry",,43.36242326,5.33992679,,,1,
StopArea:OCE87751644,"gare de St-Louis-les-Aygalades",,43.3461559,5.36506447,,,1,
StopArea:OCE87713115,"gare de Les Laumes-Alésia",,47.54331945,4.46286849,,,1,
StopArea:OCE87713131,"gare de Montbard",,47.61871969,4.33615203,,,1,
StopArea:OCE87713156,"gare de Nuits-sous-Ravières",,47.72921002,4.21126636,,,1,
StopArea:OCE87713198,"gare de Tonnerre",,47.85960283,3.97349584,,,1,
StopArea:OCE87683318,"gare de St-Florentin-Vergigny",,47.9804146,3.73094939,,,1,
StopArea:OCE87683268,"gare de Laroche-Migennes",,47.96085339,3.5129407,,,1,
StopArea:OCE87683243,"gare de Joigny",,47.97354497,3.39398103,,,1,
StopArea:OCE87683003,"gare de Sens",,48.19802918,3.26731325,,,1,
StopArea:OCE87686667,"gare de Paris-Bercy",,48.83921547,2.38279933,,,1,
StopArea:OCE87683201,"gare de Etigny-Véron",,48.13807628,3.28980484,,,1,
StopArea:OCE87683219,"gare de Villeneuve-sur-Yonne",,48.08493107,3.28623974,,,1,
StopArea:OCE87683227,"gare de St-Julien-du-Sault",,48.0269443,3.30271852,,,1,
StopArea:OCE87713545,"gare de Beaune",,47.02296796,4.84845239,,,1,
StopArea:OCE87713578,"gare de Chagny",,46.90742982,4.74965023,,,1,
StopArea:OCE87725002,"gare de Chalon-sur-Saône",,46.78168069,4.84323257,,,1,
StopArea:OCE87725622,"gare de Tournus",,46.56672214,4.90652746,,,1,
StopArea:OCE87725689,"gare de Mâcon-Ville",,46.30281446,4.82512238,,,1,
StopArea:OCE87721357,"gare de Belleville-sur-Saône",,46.11194678,4.72900795,,,1,
StopArea:OCE87721332,"gare de Villefranche-sur-Saône",,45.98444604,4.72082206,,,1,
StopArea:OCE87721282,"gare de St-Germain-au-Mont-d'Or",,45.88844556,4.80418514,,,1,
StopArea:OCE87725713,"gare de Crêches-sur-Saône",,46.24608034,4.78404582,,,1,
StopArea:OCE87725721,"gare de Pontanevaux",,46.21306089,4.7724769,,,1,
StopArea:OCE87725739,"gare de Romanèche-Thorins",,46.17639141,4.74210129,,,1,
StopArea:OCE87721340,"gare de St-Georges-de-Reneins",,46.06219519,4.71889084,,,1,
StopArea:OCE87721324,"gare de Anse",,45.93934384,4.71975442,,,1,
StopArea:OCE87743716,"gare de Ambérieu-en-Bugey",,45.95401406,5.34232212,,,1,
StopArea:OCE87741439,"gare de Lépin-le-Lac-la-Bauche",,45.54155156,5.76497093,,,1,
StopArea:OCE87741470,"gare de Pont-de-Beauvoisin",,45.52454112,5.68066526,,,1,
StopArea:OCE87741140,"gare de Viviers-du-Lac",,45.64852781,5.90332196,,,1,
StopArea:OCE87741074,"gare de Culoz",,45.84326332,5.77871209,,,1,
StopArea:OCE87741223,"gare de St-Pierre-d'Albigny",,45.5573746,6.15636171,,,1,
StopArea:OCE87741256,"gare de Aiguebelle",,45.54366686,6.30675579,,,1,
StopArea:OCE87741306,"gare de St-Avre-la-Chambre",,45.35310673,6.30288543,,,1,
StopArea:OCE87742320,"gare de St-Jean-de-Maurienne-A.",,45.27784785,6.35420951,,,1,
StopArea:OCE87742361,"gare de St-Michel-Valloire",,45.21724708,6.47112685,,,1,
StopArea:OCE87742007,"gare de Modane",,45.19356084,6.65917929,,,1,
StopArea:OCE87741231,"gare de Chamousset",,45.5575173,6.20644649,,,1,
StopArea:OCE87741280,"gare de Epierre-St-Léger",,45.45697363,6.29247852,,,1,
StopArea:OCE87741793,"gare de Bourg-St-Maurice",,45.61852872,6.77148871,,,1,
StopArea:OCE87741777,"gare de Landry",,45.57420721,6.73387871,,,1,
StopArea:OCE87741769,"gare de Aime-la-Plagne",,45.55436967,6.64889569,,,1,
StopArea:OCE87741728,"gare de Moûtiers-Salins-Brides",,45.48648182,6.53138813,,,1,
StopArea:OCE87741645,"gare de Albertville",,45.6731881,6.38324971,,,1,
StopArea:OCE87741629,"gare de Frontenex",,45.63055643,6.31403799,,,1,
StopArea:OCE87741611,"gare de Grésy-sur-Isère",,45.59444669,6.25886514,,,1,
StopArea:OCE87741694,"gare de Notre-Dame-de-Briançon",,45.53931212,6.46875327,,,1,
StopArea:OCE87746784,"gare de Chamonix-Mont-Blanc",,45.92271064,6.87427665,,,1,
